country,rank,happiness_score,density_p_per_km2,agricultural_land_percent,land_area_km2,cpi,cpi_change_percent,fertility_rate,forested_area_percent,gross_primary_education_enrollment_percent,gross_tertiary_education_enrollment_percent,minimum_wage,out_of_pocket_health_expenditure_percent,physicians_per_thousand,labor_force_participation_percent,total_tax_rate_percent,unemployment_rate_percent,gdp_per_capita,co2_per_capita,armed_forces_per_capita,urban_population_percent,avg_temp,working_hours
Afghanistan,137,1.859,60.0,58.1,652230,149.9,2.3,4.47,2.1,104.0,9.7,0.43,78.4,0.28,48.9,71.4,11.12,502.115,0.000228,0.008491,25.754,13.04,2059.0
Albania,83,5.277,105.0,43.1,28748,119.05,1.4,1.62,28.1,107.0,55.0,1.12,56.9,1.2,55.7,36.6,12.33,5352.857,0.001589,0.003153,61.229,12.44,2168.0
Algeria,81,5.329,18.0,17.4,2381741,151.36,2.0,3.02,0.8,109.9,51.4,0.95,28.1,1.72,41.2,66.1,11.7,3948.343,0.003484,0.007363,73.189,23.6,2272.0
Argentina,52,6.024,17.0,54.3,2780400,232.75,53.5,2.26,9.8,109.7,90.0,3.35,17.6,3.96,61.3,106.3,9.79,10006.149,0.004481,0.002337,91.991,16.3,1924.0
Armenia,79,5.342,104.0,58.9,29743,129.18,1.4,1.76,11.7,92.7,54.6,0.66,81.6,4.4,55.6,22.6,16.99,4622.733,0.001743,0.016567,63.219,7.82,2085.0
Australia,12,7.095,3.0,48.2,7741220,119.8,1.6,1.74,16.3,100.3,113.1,13.59,19.6,3.68,65.5,47.4,5.27,54049.829,0.014589,0.002251,84.779,22.05,1680.0
Austria,11,7.097,109.0,32.4,83871,118.06,1.5,1.47,46.9,103.1,85.1,12.2,17.9,5.17,60.7,51.4,4.67,50277.275,0.006922,0.002366,58.515,7.44,1732.0
Bahrain,42,6.173,2450.5,11.1,765,117.59,2.1,1.99,0.8,99.4,50.5,4.6,25.1,0.93,73.4,13.8,0.71,25688.046,0.021106,0.012653,97.701,27.69,2054.0
Bangladesh,118,4.282,1370,70.6,148460,179.68,5.6,2.04,11.0,116.5,20.6,0.51,71.8,0.58,59.0,33.4,4.19,1808.438,0.000504,0.001321,36.452,25.71,2439.0
Belgium,17,6.859,383.0,44.6,30528,117.11,1.4,1.62,22.6,103.9,79.7,10.31,17.6,3.07,53.6,55.4,5.59,46116.699,0.008437,0.002786,98.041,10.67,1820.0
Benin,116,4.374,108.0,33.3,112622,110.71,-0.9,4.84,37.8,122.0,12.3,0.39,40.5,0.08,70.9,48.9,2.23,1219.433,0.000549,0.001017,47.861,28.02,2101.0
Bolivia,69,5.684,11.0,34.8,1098581,148.32,1.8,2.73,50.3,98.2,44.98,1.36,25.9,1.59,71.8,83.7,3.5,3552.069,0.001877,0.006167,69.773,20.76,1976.0
Bosnia and Herzegovina,71,5.633,64.0,43.1,51197,104.9,0.6,1.27,42.7,87.24,23.3,1.04,28.6,2.16,46.4,23.7,18.42,6073.265,0.006619,0.003332,48.626,10.35,2153.0
Botswana,132,3.435,4.0,45.6,581730,149.75,2.8,2.87,18.9,103.2,24.9,0.29,5.3,0.37,70.8,25.1,18.19,7817.183,0.002702,0.003836,68.901,22.09,2278.0
Brazil,49,6.125,25.0,33.9,8515770,167.4,3.7,1.73,58.9,115.4,51.3,1.53,28.3,2.15,63.9,65.1,12.08,8655.265,0.002175,0.003434,86.207,25.44,2028.0
Bulgaria,77,5.466,64.0,46.3,110879,114.42,3.1,1.56,35.4,89.3,71.0,1.57,47.7,4.03,55.4,28.3,4.34,12328.404,0.005979,0.004444,75.347,11.35,2038.0
Burkina Faso,104,4.638,76.0,44.2,274200,106.58,-3.2,5.19,19.3,96.1,6.5,0.34,36.1,0.08,66.4,41.3,6.26,774.84,0.000168,0.000541,29.98,30.4,2408.0
Ivory Coast,93,5.053,83.0,64.8,322463,111.61,-0.9,4.65,32.7,99.8,9.3,0.36,36.0,0.23,57.0,50.1,3.32,2286.163,0.000376,0.00105,51.239,26.8,2215.0
Cambodia,115,4.393,95.0,30.9,181035,127.63,2.5,2.5,52.9,107.4,13.7,1.20,59.4,0.17,82.3,23.1,0.68,1643.121,0.000602,0.011585,23.805,27.41,2101.0
Cameroon,96,4.973,56.0,20.6,475440,118.65,2.5,4.57,39.3,103.4,12.8,0.35,69.7,0.09,76.1,57.7,3.38,1497.909,0.00032,0.000927,56.968,24.8,2179.0
Canada,13,6.961,4.0,6.9,9984670,116.76,1.9,1.5,38.2,100.9,68.9,9.51,14.6,2.61,65.1,24.5,5.56,46940.596,0.01473,0.001946,82.798,4.03,1669.0
Chad,114,4.397,13.0,39.7,1284000,117.7,-1.0,5.75,3.8,86.8,3.3,0.6,56.4,0.04,70.7,63.5,1.89,709.54,6.4E-05,0.002195,23.279,27.63,2064.0
Chile,35,6.334,26.0,21.2,756096,131.91,2.6,1.65,24.3,101.4,88.5,2.0,32.2,2.59,62.6,34.0,7.09,14896.454,0.004528,0.006437,87.643,9.39,2101.0
China,64,5.818,153.0,56.2,9596960,125.08,2.9,1.69,22.4,100.2,50.6,0.87,32.4,1.98,68.0,59.2,4.32,14244.678,0.007078,0.001928,60.308,7.59,2397.0
Colombia,72,5.63,46.0,40.3,1138910,140.95,3.5,1.81,52.7,114.5,55.3,1.23,18.3,2.18,68.8,71.2,9.71,6432.388,0.001943,0.009555,81.104,25.0,2298.0
Republic of the Congo,86,5.267,16.0,31.1,342000,124.74,2.2,4.43,65.4,106.6,12.7,0.88,43.8,0.12,69.4,54.3,9.47,2011.072,0.00061,0.00223,67.373,24.74,2527.0
Costa Rica,23,6.609,100.0,34.5,51100,128.85,2.1,1.75,54.6,113.3,55.2,1.84,21.5,2.89,62.1,58.3,11.85,12238.375,0.001589,0.001981,80.076,24.83,2210.0
Croatia,48,6.125,73.0,27.6,56594,109.82,0.8,1.47,34.4,96.5,67.9,2.92,15.2,3.0,51.2,20.5,6.93,14853.24,0.004299,0.004425,57.242,11.96,1971.0
Cyprus,46,6.13,131.0,12.2,9251,102.51,0.3,1.33,18.7,99.3,75.9,6.36,43.9,1.95,63.1,22.4,7.27,20494.878,0.005528,0.013349,66.805,20.01,1955.0
Czech Republic,18,6.845,139.0,45.2,78867,116.48,2.8,1.69,34.6,100.7,64.1,3.0,14.8,4.12,60.6,46.1,1.93,23101.778,0.00958,0.002156,73.921,8.6,1960.0
Democratic Republic of the Congo,133,3.207,40.0,11.6,2344858,133.85,2.9,5.92,67.2,108.0,6.6,0.18,37.4,0.07,63.5,50.7,4.24,545.216,2.3E-05,0.001544,45.046,24.35,1888.0
Denmark,2,7.586,137.0,62.0,43094,110.35,0.8,1.73,14.7,101.3,80.6,15.31,13.7,4.01,62.2,23.8,4.91,59822.093,0.005463,0.002578,87.994,8.9,1763.0
Dominican Republic,73,5.569,225.0,48.7,48670,135.5,1.8,2.35,41.7,105.7,59.9,0.4,43.7,1.56,64.3,48.8,5.84,8282.116,0.002352,0.006611,81.828,24.55,2122.0
Ecuador,74,5.559,71.0,22.2,283561,124.14,0.3,2.43,50.2,103.3,44.9,2.46,43.7,2.04,68.0,34.4,3.97,6183.824,0.002369,0.00236,63.986,21.43,1997.0
Egypt,121,4.17,103.0,3.8,1001450,288.57,9.2,3.33,0.1,106.3,35.2,0.56,62.0,0.45,46.4,44.4,10.76,3020.031,0.002376,0.008328,42.73,23.14,2236.0
El Salvador,50,6.122,313.0,76.4,21041,111.23,0.1,2.04,12.6,94.8,29.4,0.5,27.9,1.57,59.1,36.4,4.11,4187.25,0.001111,0.006508,72.746,25.23,2246.0
Estonia,31,6.455,31.0,23.1,45228,122.14,2.3,1.59,51.3,97.2,69.6,3.14,22.8,4.48,63.6,47.8,5.11,23566.89,0.012457,0.004505,68.78,6.34,1908.0
Ethiopia,124,4.091,115.0,36.3,1104300,143.86,15.8,4.25,12.5,101.0,8.1,0.21,37.8,0.08,79.6,37.7,2.08,857.501,0.000133,0.001231,21.225,23.36,1659.0
Finland,1,7.804,18.0,7.5,338145,112.33,1.0,1.41,73.1,100.2,88.2,13.3,19.9,3.81,59.1,36.6,6.59,48685.854,0.008309,0.004529,85.446,2.46,1789.0
France,21,6.661,119.0,52.4,643801,110.05,1.1,1.88,31.2,102.5,65.6,11.16,6.8,3.27,55.1,60.7,8.43,40493.929,0.004522,0.004578,80.709,11.65,1867.0
Gabon,94,5.035,9.0,20.0,267667,122.19,2.1,3.97,90.0,139.9,8.3,1.46,25.9,0.68,52.9,47.1,20.0,7667.367,0.002449,0.003222,89.741,25.2,2174.0
The Gambia,119,4.279,239.0,59.8,11300,172.73,7.1,5.22,48.4,98.0,2.7,0.13,20.3,0.1,59.4,48.4,9.06,751.295,0.000227,0.000426,61.931,28.38,2163.0
Georgia,90,5.109,57.0,34.5,69700,133.61,4.9,2.06,40.6,98.6,63.9,0.05,57.3,7.12,68.3,9.9,14.4,4769.187,0.002722,0.006989,59.039,9.01,2106.0
Germany,16,6.892,240.0,47.7,357022,112.85,1.4,1.56,32.7,104.0,70.2,9.99,12.5,4.25,60.8,48.8,3.04,46258.878,0.008757,0.002165,77.376,9.59,1778.0
Ghana,107,4.605,137.0,69.0,238533,268.36,7.2,3.87,41.2,104.8,15.7,0.27,36.1,0.14,67.8,55.4,4.33,2175.315,0.000541,0.00052,56.017,27.66,2002.0
Greece,58,5.931,81.0,47.6,131957,101.87,0.2,1.35,31.7,99.6,136.6,4.46,35.5,5.48,51.8,51.9,17.24,19582.536,0.005826,0.013624,79.388,13.17,2064.0
Guatemala,43,6.15,167.0,36.0,108889,142.92,3.7,2.87,32.7,101.9,21.8,1.6,55.8,0.35,62.3,35.2,2.46,4619.987,0.00101,0.00259,51.439,23.65,2153.0
Guinea,91,5.072,53.0,59.0,245857,262.95,9.5,4.7,25.8,91.5,11.6,0.36,54.5,0.08,61.5,69.3,4.3,1064.131,0.000235,0.001018,36.5,25.86,2034.0
Honduras,53,6.023,89.0,28.9,112090,150.34,4.4,2.46,40.0,91.5,26.2,1.01,49.1,0.31,68.8,39.1,5.39,2574.912,0.001007,0.00236,57.73,24.72,2267.0
